SYMBOL,SECTOR
NET,Technology
NEXI,Healthcare
NEXT,Energy
NFE,Utilities
NFG,Energy
NFLX,Communication Services
NG,Basic Materials
NGD,Basic Materials
NGM,Healthcare
NI,Utilities
NINE,Energy
NIO,Consumer Cyclical
NJR,Utilities
NKE,Consumer Cyclical
NKGN,Healthcare
NKTX,Healthcare
NLY,Real Estate
NMIH,Financial Services
NMR,Financial Services
NMRK,Real Estate
NN,Technology
NNDM,Technology
NNN,Real Estate
NNOX,Healthcare
NOC,Industrials
NOG,Energy
NOK,Technology
NOMD,Consumer Defensive
NOTE,Technology
NOV,Energy
NOVA,Technology
NOW,Technology
NR,Energy
NRBO,Healthcare
NRDY,Technology
NRG,Utilities
NRGV,Utilities
NRIX,Healthcare
NS,Energy
NSA,Real Estate
NSC,Industrials
NTAP,Technology
NTCT,Technology
NTES,Communication Services
NTLA,Healthcare
NTNX,Technology
NTR,Basic Materials
NTRA,Healthcare
NTRS,Financial Services
NTST,Real Estate
NU,Financial Services
NUE,Basic Materials
NUS,Consumer Defensive
NUVB,Healthcare
NVAX,Healthcare
NVCR,Healthcare
NVDA,Technology
NVG,Financial Services
NVO,Healthcare
NVRO,Healthcare
NVS,Healthcare
NVST,Healthcare
NVT,Industrials
NVTS,Technology
NWBI,Financial Services
NWG,Financial Services
NWL,Consumer Defensive
NWS,Communication Services
NWSA,Communication Services
NXE,Energy
NXPI,Technology
NXT,Technology
NYCB,Financial Services
NYMT,Real Estate
NYT,Communication Services
O,Real Estate
OBDC,Financial Services
OC,Industrials
OCEA,Healthcare
OCSL,Financial Services
OCUL,Healthcare
ODD,Technology
ODFL,Industrials
OGE,Utilities
OGI,Healthcare
OGN,Healthcare
OGS,Utilities
OHI,Real Estate
OI,Consumer Cyclical
OII,Energy
OIS,Energy
OKE,Energy
OKTA,Technology
OLK,Healthcare
OLLI,Consumer Defensive
OLMA,Healthcare
OLN,Basic Materials
OLO,Technology
OLPX,Consumer Cyclical
OM,Healthcare
OMC,Communication Services
OMCL,Healthcare
OMER,Healthcare
OMF,Financial Services
OMGA,Healthcare
OMI,Healthcare
ON,Technology
ONB,Financial Services
ONON,Consumer Cyclical
OPCH,Healthcare
OPEN,Real Estate
OPI,Real Estate
OPRA,Communication Services
OR,Basic Materials
ORC,Real Estate
ORCL,Technology
ORGO,Healthcare
ORI,Financial Services
ORIC,Healthcare
ORLA,Basic Materials
OSCR,Healthcare
OSK,Industrials
OSUR,Healthcare
OSW,Consumer Cyclical
OTEX,Technology
OTIS,Industrials
OUST,Technology
OUT,Real Estate
OVV,Energy
OWL,Financial Services
OXLC,Financial Services
OXY,Energy
OZK,Financial Services
PAA,Energy
PAAS,Basic Materials
PACB,Healthcare
PAGP,Energy
PAGS,Technology
PANW,Technology
PARA,Communication Services
PARR,Energy
PATH,Technology
PAYC,Technology
PAYO,Technology
PAYX,Industrials
PB,Financial Services
PBA,Energy
PBF,Energy
PBI,Industrials
PBR,Energy
PBYI,Healthcare
PCAR,Industrials
PCG,Utilities
PCOR,Technology
PCSA,Healthcare
PCT,Industrials
PCTY,Technology
PCVX,Healthcare
PD,Technology
PDCO,Healthcare
PDD,Consumer Cyclical
PDI,Financial Services
PDM,Real Estate
PDSB,Healthcare
PEB,Real Estate
PECO,Real Estate
PEG,Utilities
PEGA,Technology
PENN,Consumer Cyclical
PEP,Consumer Defensive
PERI,Communication Services
PFE,Healthcare
PFG,Financial Services
PFGC,Consumer Defensive
PFLT,Financial Services
PFS,Financial Services
PG,Consumer Defensive
PGEN,Healthcare
PGNY,Healthcare
PGR,Financial Services
PGRE,Real Estate
PGTI,Industrials
PGY,Technology
PH,Industrials
PHAT,Healthcare
PHG,Healthcare
PHIN,Consumer Cyclical
PHM,Consumer Cyclical
PHR,Healthcare
PHUN,Technology
PII,Consumer Cyclical
PIK,Consumer Cyclical
PINC,Healthcare
PINS,Communication Services
PK,Real Estate
PKG,Consumer Cyclical
PL,Industrials
PLAB,Technology
PLAY,Communication Services
PLCE,Consumer Cyclical
PLD,Real Estate
PLL,Basic Materials
PLNT,Consumer Cyclical
PLTK,Communication Services
PLTR,Technology
PLUG,Industrials
PLYA,Consumer Cyclical
PM,Consumer Defensive
PMT,Real Estate
PMVP,Healthcare
PNC,Financial Services
PNFP,Financial Services
PNM,Utilities
PNR,Industrials
PNW,Utilities
PODD,Healthcare
POR,Utilities
POST,Consumer Defensive
POWW,Industrials
PPBI,Financial Services
PPC,Consumer Defensive
PPG,Basic Materials
PPL,Utilities
PR,Energy
PRCH,Technology
PRGO,Healthcare
PRGS,Technology
PRKS,Consumer Cyclical
PRM,Basic Materials
PRME,Healthcare
PRMW,Consumer Defensive
PROK,Healthcare
PRPL,Consumer Cyclical
PRTA,Healthcare
PRTS,Consumer Cyclical
PRU,Financial Services
PRVA,Healthcare
PSA,Real Estate
PSEC,Financial Services
PSN,Technology
PSNY,Consumer Cyclical
PSTG,Technology
PSTX,Healthcare
PSX,Energy
PTC,Technology
PTCT,Healthcare
PTEN,Energy
PTGX,Healthcare
PTLO,Consumer Cyclical
PTN,Healthcare
PTON,Consumer Cyclical
PTPI,Healthcare
PTY,Financial Services
PUBM,Technology
PUK,Financial Services
PUMP,Energy
PVH,Consumer Cyclical
PWR,Industrials
PWSC,Technology
PX,Financial Services
PXD,Energy
PXLW,Technology
PYCR,Technology
PYPL,Financial Services
PYXS,Healthcare
PZZA,Consumer Cyclical
QBTS,Technology
QCOM,Technology
QD,Financial Services
QDEL,Healthcare
QFIN,Financial Services
QGEN,Healthcare
QLYS,Technology
QNRX,Healthcare
QRVO,Technology
QS,Consumer Cyclical
QSI,Healthcare
QSR,Consumer Cyclical
QTWO,Technology
QURE,Healthcare
RAMP,Technology
RAPT,Healthcare
RARE,Healthcare
RBA,Industrials
RBLX,Communication Services
RC,Real Estate
RCKT,Healthcare
RCL,Consumer Cyclical
RCM,Healthcare
RCUS,Healthcare
RDFN,Real Estate
RDN,Financial Services
RDNT,Healthcare
REAL,Consumer Cyclical
REG,Real Estate
REI,Energy
REKR,Technology
RELX,Industrials
RELY,Technology
REPL,Healthcare
RES,Energy
REVB,Healthcare
REVG,Industrials
REXR,Real Estate
REYN,Consumer Cyclical
REZI,Industrials
RF,Financial Services
RGEN,Healthcare
RGNX,Healthcare
RGTI,Technology
RHI,Industrials
RIG,Energy
RIGL,Healthcare
RILY,Financial Services
RIO,Basic Materials
RIOT,Financial Services
RITM,Real Estate
RIVN,Consumer Cyclical
RJF,Financial Services
RKLB,Industrials
RKT,Financial Services
RL,Consumer Cyclical
RLAY,Healthcare
RLJ,Real Estate
RLX,Consumer Defensive
RMBS,Technology
RMD,Healthcare
RNA,Healthcare
RNG,Technology
ROIC,Real Estate
ROIV,Healthcare
ROK,Industrials
ROKU,Communication Services
ROL,Consumer Cyclical
ROOT,Financial Services
ROP,Technology
ROST,Consumer Cyclical
RPAY,Technology
RPD,Technology
RPM,Basic Materials
RPRX,Healthcare
RRC,Energy
RSG,Industrials
RSI,Consumer Cyclical
RSKD,Technology
RTO,Industrials
RTX,Industrials
RUM,Technology
RUN,Technology
RVLV,Consumer Cyclical
RVMD,Healthcare
RVNC,Healthcare
RVSN,Industrials
RVTY,Healthcare
RWT,Real Estate
RXO,Industrials
RXRX,Healthcare
RXT,Technology
RY,Financial Services
RYAAY,Industrials
RYAM,Basic Materials
RYAN,Financial Services
RYN,Real Estate
RYTM,Healthcare
S,Technology
SA,Basic Materials
SABR,Consumer Cyclical
SAGE,Healthcare
SAN,Financial Services
SANA,Healthcare
SAND,Basic Materials
SANM,Technology
SAP,Technology
SATS,Technology
SAVA,Healthcare
SAVE,Industrials
SB,Industrials
SBAC,Real Estate
SBH,Consumer Cyclical
SBLK,Industrials
SBRA,Real Estate
SBS,Utilities
SBSW,Basic Materials
SBUX,Consumer Cyclical
SCCO,Basic Materials
SCHW,Financial Services
SCI,Consumer Cyclical
SCLX,Healthcare
SCRM,Financial Services
SCS,Industrials
SD,Energy
SDGR,Healthcare
SDIG,Financial Services
SDRL,Energy
SE,Consumer Cyclical
SEAT,Communication Services
SEDG,Technology
SEE,Consumer Cyclical
SEIC,Financial Services
SELX,Technology
SEMR,Technology
SES,Consumer Cyclical
SF,Financial Services
SFIX,Consumer Cyclical
SFL,Industrials
SFM,Consumer Defensive
SFNC,Financial Services
SG,Consumer Cyclical
SGH,Technology
SGML,Basic Materials
SGMT,Healthcare
SGRY,Healthcare
SHAK,Consumer Cyclical
SHC,Healthcare
SHEL,Energy
SHLS,Technology
SHO,Real Estate
SHOO,Consumer Cyclical
SHOP,Technology
SHOT,Consumer Defensive
SHW,Basic Materials
SID,Basic Materials
SIDU,Industrials
SIG,Consumer Cyclical
SILK,Healthcare
SILV,Basic Materials
SIRI,Communication Services
SISI,Consumer Defensive
SITC,Real Estate
SIX,Consumer Cyclical
SJM,Consumer Defensive
SKIN,Consumer Defensive
SKT,Real Estate
SKX,Consumer Cyclical
SLB,Energy
SLCA,Energy
SLDP,Industrials
SLF,Financial Services
SLG,Real Estate
SLGN,Consumer Cyclical
SLI,Basic Materials
SLM,Financial Services
SLQT,Financial Services
SLRN,Healthcare
SM,Energy
SMAR,Technology
SMCI,Technology
SMFG,Financial Services
SMG,Basic Materials
SMMT,Healthcare
SMPL,Consumer Defensive
SMR,Industrials
SMRT,Technology
SMTC,Technology
SN,Consumer Cyclical
SNAP,Communication Services
SNBR,Consumer Cyclical
SNCY,Industrials
SNDL,Consumer Defensive
SNDR,Industrials
SNDX,Healthcare
SNN,Healthcare
SNOW,Technology
SNPS,Technology
SNV,Financial Services
SNX,Technology
SNY,Healthcare
SO,Utilities
SOFI,Financial Services
SOGP,Communication Services
SOL,Technology
SONO,Technology
SONY,Technology
SOUN,Technology
SOVO,Consumer Defensive
SPCE,Industrials
SPG,Real Estate
SPGI,Financial Services
SPHR,Communication Services
SPLK,Technology
SPNT,Financial Services
SPOT,Communication Services
SPR,Industrials
SPRC,Healthcare
SPRY,Healthcare
SPT,Technology
SPWR,Technology
SQ,Technology
SQM,Basic Materials
SQNS,Technology
SQSP,Technology
SR,Utilities
SRE,Utilities
SRPT,Healthcare
SRRK,Healthcare
SSL,Basic Materials
SSNC,Technology
SSP,Communication Services
SSRM,Basic Materials
SSTK,Communication Services
ST,Technology
STAA,Healthcare
STAG,Real Estate
STEM,Technology
STGW,Communication Services
STKL,Consumer Defensive
STLA,Consumer Cyclical
STLD,Basic Materials
STM,Technology
STNE,Technology
STNG,Energy
STRO,Healthcare
STT,Financial Services
STWD,Real Estate
STX,Technology
STZ,Consumer Defensive
SU,Energy
SUI,Real Estate
SUM,Basic Materials
SUN,Energy
SUPV,Financial Services
SURG,Technology
SUZ,Basic Materials
SVC,Real Estate
SVM,Basic Materials
SVRA,Healthcare
SVV,Consumer Cyclical
SWK,Industrials
SWKS,Technology
SWN,Energy
SWTX,Healthcare
SXC,Basic Materials
SXTC,Healthcare
SYF,Financial Services
SYK,Healthcare
SYM,Industrials
SYRA,Healthcare
SYY,Consumer Defensive
T,Communication Services
TAC,Utilities
TAK,Healthcare
TAL,Consumer Defensive
TALK,Healthcare
TALO,Energy
TAOP,Technology
TAP,Consumer Defensive
TARS,Healthcare
TAST,Consumer Cyclical
TBBK,Financial Services
TBLA,Communication Services
TCBP,Healthcare
TCN,Real Estate
TCOM,Consumer Cyclical
TD,Financial Services
TDC,Technology
TDOC,Healthcare
TDS,Communication Services
TDUP,Consumer Cyclical
TDW,Energy
TEAM,Technology
TECH,Healthcare
TECK,Basic Materials
TEF,Communication Services
TEL,Technology
TENB,Technology
TENX,Healthcare
TER,Technology
TERN,Healthcare
TEVA,Healthcare
TEX,Industrials
TFC,Financial Services
TGB,Basic Materials
TGH,Industrials
TGI,Industrials
TGNA,Communication Services
TGT,Consumer Defensive
TGTX,Healthcare
THC,Healthcare
THS,Consumer Defensive
TIGR,Financial Services
TJX,Consumer Cyclical
TK,Energy
TKO,Communication Services
TKR,Industrials
TLRY,Healthcare
TMC,Basic Materials
TMDX,Healthcare
TME,Communication Services
TMHC,Consumer Cyclical
TMO,Healthcare
TMUS,Communication Services
TNDM,Healthcare
TNGX,Healthcare
TNK,Energy
TNYA,Healthcare
TOL,Consumer Cyclical
TOP,Financial Services
TOST,Technology
TPG,Financial Services
TPH,Consumer Cyclical
TPIC,Industrials
TPR,Consumer Cyclical
TPST,Healthcare
TPX,Consumer Cyclical
TREX,Industrials
TRGP,Energy
TRIP,Consumer Cyclical
TRMB,Technology
TRMD,Energy
TRNO,Real Estate
TROW,Financial Services
TROX,Basic Materials
TRP,Energy
TRTX,Real Estate
TRU,Industrials
TRUP,Financial Services
TRV,Financial Services
TS,Energy
TSCO,Consumer Cyclical
TSEM,Technology
TSHA,Healthcare
TSLA,Consumer Cyclical
TSM,Technology
TSN,Consumer Defensive
TSVT,Healthcare
TT,Industrials
TTC,Industrials
TTD,Technology
TTE,Energy
TTI,Energy
TTMI,Technology
TTWO,Communication Services
TU,Communication Services
TUP,Consumer Cyclical
TV,Communication Services
TVTX,Healthcare
TW,Financial Services
TWKS,Technology
TWLO,Communication Services
TWO,Real Estate
TWST,Healthcare
TXG,Healthcare
TXN,Technology
TXRH,Consumer Cyclical
TXT,Industrials
U,Technology
UA,Consumer Cyclical
UAA,Consumer Cyclical
UAL,Industrials
UAVS,Technology
UBER,Technology
UBS,Financial Services
UBSI,Financial Services
UCBI,Financial Services
UDMY,Consumer Defensive
UDR,Real Estate
UE,Real Estate
UEC,Energy
UGI,Utilities
UGP,Energy
UHS,Healthcare
UIS,Technology
UL,Consumer Defensive
ULCC,Industrials
ULTA,Consumer Cyclical
UMC,Technology
UNFI,Consumer Defensive
UNH,Healthcare
UNIT,Real Estate
UNM,Financial Services
UNP,Industrials
UP,Industrials
UPS,Industrials
UPST,Financial Services
UPWK,Industrials
URBN,Consumer Cyclical
URG,Energy
URI,Industrials
UROY,Energy
USA,Financial Services
USB,Financial Services
USFD,Consumer Defensive
UTI,Consumer Defensive
UTZ,Consumer Defensive
UUUU,Energy
UWMC,Financial Services
V,Financial Services
VAL,Energy
VALE,Basic Materials
VANI,Healthcare
VCIG,Industrials
VCYT,Healthcare
VECO,Technology
VEEV,Healthcare
VERA,Healthcare
VERV,Healthcare
VERX,Technology
VET,Energy
VFC,Consumer Cyclical
VFS,Consumer Cyclical
VGR,Consumer Defensive
VIAV,Technology
VICI,Real Estate
VINC,Healthcare
VIPS,Consumer Cyclical
VIR,Healthcare
VIRT,Financial Services
VIV,Communication Services
VKTX,Healthcare
VLCN,Consumer Cyclical
VLO,Energy
VLRS,Industrials
VLTO,Industrials
VLY,Financial Services
VMC,Basic Materials
VMEO,Technology
VNDA,Healthcare
VNET,Technology
VNO,Real Estate
VNOM,Energy
VNT,Technology
VOD,Communication Services
VOYA,Financial Services
VRDN,Healthcare
VRE,Real Estate
VRNS,Technology
VRRM,Industrials
VRSK,Industrials
VRSN,Technology
VRT,Industrials
VRTX,Healthcare
VSAT,Technology
VSCO,Consumer Cyclical
VSH,Technology
VST,Utilities
VSTO,Consumer Cyclical
VSTS,Industrials
VTEX,Technology
VTLE,Energy
VTNR,Energy
VTR,Real Estate
VTRS,Healthcare
VTYX,Healthcare
VUZI,Technology
VVR,Financial Services
VVV,Energy
VYGR,Healthcare
VYX,Technology
W,Consumer Cyclical
WAB,Industrials
WAL,Financial Services
WB,Communication Services
WBA,Healthcare
WBD,Communication Services
WBS,Financial Services
WCC,Industrials
WCN,Industrials
WDAY,Technology
WDC,Technology
WDS,Energy
WEAV,Technology
WEC,Utilities
WELL,Real Estate
WEN,Consumer Cyclical
WERN,Industrials
WES,Energy
WFC,Financial Services
WFRD,Energy
WGO,Consumer Cyclical
WH,Consumer Cyclical
WHD,Energy
WHR,Consumer Cyclical
WISH,Consumer Cyclical
WIT,Technology
WIX,Technology
WM,Industrials
WMB,Energy
WMG,Communication Services
WMT,Consumer Defensive
WNC,Industrials
WNW,Consumer Cyclical
WOLF,Technology
WOOF,Consumer Cyclical
WOW,Communication Services
WPC,Real Estate
WPM,Basic Materials
WRAP,Technology
WRB,Financial Services
WRBY,Healthcare
WRK,Consumer Cyclical
WSC,Industrials
WSM,Consumer Cyclical
WST,Healthcare
WT,Financial Services
WTI,Energy
WTRG,Utilities
WTTR,Basic Materials
WU,Financial Services
WULF,Financial Services
WVE,Healthcare
WW,Consumer Cyclical
WWW,Consumer Cyclical
WY,Real Estate
WYNN,Consumer Cyclical
X,Basic Materials
XEL,Utilities
XERS,Healthcare
XHR,Real Estate
XMTR,Industrials
XNCR,Healthcare
XOM,Energy
XP,Financial Services
XPEV,Consumer Cyclical
XPO,Industrials
XPOF,Consumer Cyclical
XPRO,Energy
XRAY,Healthcare
XRX,Technology
XYL,Industrials
YELP,Communication Services
YETI,Consumer Cyclical
YEXT,Technology
YMM,Technology
YOU,Technology
YPF,Energy
YUM,Consumer Cyclical
YUMC,Consumer Cyclical
YY,Communication Services
Z,Communication Services
ZBH,Healthcare
ZETA,Technology
ZG,Communication Services
ZGN,Consumer Cyclical
ZI,Technology
ZIM,Industrials
ZION,Financial Services
ZIP,Industrials
ZJYL,Healthcare
ZLAB,Healthcare
ZM,Technology
ZNTL,Healthcare
ZS,Technology
ZTO,Industrials
ZTS,Healthcare
ZUO,Technology
ZWS,Industrials
ZYME,Healthcare
